,id,native,language,text
410,523,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]","Hi, I'm 41 french woman living in Toulouse. I'm happy to exchange with people learning french  I like to cook and exchange about recipe from all other the world. I also like sport, care about the planete and I'm worried about climate&amp; biodiversity. I prefer face to face conversation in town!"
415,529,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, I'm native catalan speaker (also I speak spanish perfectly), I'd like to improve my english and helping with your catalan/spanish! I love learning new languages and cultures, I'm a bit shy at first but I really want to meet new people from other countries, my english level is intermediate."
417,531,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am Mary I wanna improve my vocabulary and meet new people.
418,532,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi I am Socorro, I´m a retired science teacher from Mexico. I´m looking for someone to practice English and I would love to help you to learn Spanish"
420,534,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Spanish, right now I am in Canada for a few days. I would like to improve my English level."
421,535,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Spanish speaker trying to practice English. Willing to help with Spanish.
424,539,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",hi i'm insterested in art and productivity stuff. Also im trying to improve my english here and i can help you with your spanish if you want to.
428,543,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I need to improve my English, and I've thought that doing it with a beer in my hand would be a great way. I can hold a conversation on different and complex topics, but I'd like to seem more natural when I speak. In exchange, I offer my (almost) perfect Spanish, and a funny conversation full of bad jokes."
429,545,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a 30 year old mexican. I studied Biology as a profession many years ago, and now I am a high school science teacher, which is something I love. I learned English by self-taught since I was a teenager, but I've never had the chance and the courage to practice it with someone, so I want to try this and see what happens."
432,548,Spanish,"[{'language': 'Swedish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm looking for people to exchange languages to improve our language skills, sharing and learning from each other. I have many interests such as play music, science, art, programming, cooperativism, boxing, jiu-jitsu and sports. I also love to read a lot and learn about multiple things,for example: history (specially women and proletarian history), anthropology, paleontology, sociology, philosophy, nature, nutrition,etc. If you are interested to exchange languanges, write me."
440,556,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a 47 years old guy from Rome. Italy and I'd like to talk with English native speakers to improve my language skills and even to get to know other cultures or different customs and traditions ... I hope to be able to know nice people to start some interesting conversations soon !
443,559,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to practice more regularly my English and/or Italian, in exchange I will be happy to help you with Spanish. I like to talk about everything, and my main hobbies are sports, cinema, literature and travelling."
446,562,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm here,looking for a chance to practice with a native English speaker,who need to learn Spanish I studied English for over 5 years,but nothing can be better than one on one conversation with a native speaker I'd be glad to help to anyone who need to learn or practice Spanish in exchange"
451,570,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","hi guys, im a native spanish speaker looking for some conversation in english, i have been studing english for years step by step, and im trying to improve my spoken english when i have time to practice, i have no preference about your country or accent. I have started to learn norwegian, then if you can speak norwegian too, it would be great!. Im not a teacher but i have met people who learn spanish as a foreign language then, i have experience with grammatic problems, maybe i could help you!"
452,571,Spanish,"[{'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Spanish native speaker ... I want to learn English and Portuguese:)
453,572,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I'm learning English (intermediate level) and German (basic level). I want to learn Russian in the near future. I can help you with Spanish, my native language. I'm looking for serious, regular, but always friendly language practice."
455,575,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hey partners from around the world! wanna practice spanish ? Long years ago I studied english and french , but now i´m missing fluency and vocabulary 'cause i don't have the opportunity of practicing. I don't care male or female, just wanna practice, make some friends and i could help you with spanish."
459,579,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Hey there! I'm interested in improve my English skills because I would like to progress on my career. Thanks so much!
462,584,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm looking for someone to improve my listening and speaking skills, both for personal and professional interests. I'm a very patience guy so I don't mind your spanish level, I'll help you to reach a perfect level as together will solve any doubt you have! --- About interests: nature and animals, I'm a sporty guy so whatever sport is welcome, martial arts (I practice one), music (I also play an instrument or at least I try it hahah), series and movies, and reading any interesting thing."
463,586,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]",I want to improve my English.
466,590,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm interested in improving my English pronunciation and speaking
467,591,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a fan of learning languages : English, of course, Spanish (much easier for French native!! ), and finally German that I can speak a little, to be honest. I also speak Malagasy - the big island in the Indian Ocean.Actually I came from this land, but I've lived in France for more than 50 years!! Therefore I'm interested in meeting new people and their cultures.."
468,592,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello Everybody I'm 29 years old and I have been in Vancouver, BC, London, ON, but now I moved to Hamilton, ON, Canada. I'm studying english myself, but honestly I'm really bad, I'm seeking someone to practice and improve our languages skills and find new friends."
